Model,Final Train Loss,Final Val Loss,Accuracy,Precision,Recall,F1-Score,Stopped Epoch
Baseline MLP (thr=0.5),0.3851789225737254,0.4653278253873189,0.815,0.6468200270635994,0.3602110022607385,0.462729912875121,80
Improved MLP (thr=0.5),0.42738022311528523,0.43327061971028646,0.8216666666666667,0.6748299319727891,0.373775433308214,0.481086323957323,40
Improved MLP (best thr=0.30),0.42738022311528523,0.43327061971028646,0.8001666666666667,0.551948051948052,0.5124340617935192,0.5314576006252443,40
